Ticker,Operacao,Nr Cotas,Data da Operacao,Preco Unitario,Preco Total,Taxa da B3,Taxa da CBLC,Outras Despesas,Preco Final,Subscricao
BBPO11,COMPRA,10,02/01/2020,"170,45","1.704,50","0,06","0,47",,"1.705,03",
HGCR11,COMPRA,10,02/01/2020,"128,70","1.287,00","0,05","0,35",,"1.287,40",
HGLG11,COMPRA,7,02/01/2020,"211,70","1.481,90","0,05","0,41",,"1.482,36",
HGLG11,COMPRA,3,02/01/2020,"211,95","635,85","0,03","0,17",,"636,05",
HGBS11,COMPRA,5,02/01/2020,"301,20","1.506,00","0,06","0,41",,"1.506,48",
HGRE11,COMPRA,10,02/01/2020,"205,30","2.053,00","0,08","0,56",,"2.053,64",
HFOF11,COMPRA,10,02/01/2020,"126,77","1.267,70","0,05","0,35",,"1.268,10",
IRDM11,COMPRA,10,02/01/2020,"141,33","1.413,30","0,05","0,39",,"1.413,74",
MGFF11,COMPRA,1,02/01/2020,"130,99","130,99","0,01","0,04",,"131,03",
MGFF11,COMPRA,9,02/01/2020,"131,70","1.185,30","0,04","0,32",,"1.185,66",
SAAG11,COMPRA,10,02/01/2020,"141,52","1.415,20","0,05","0,39",,"1.415,64",
SPTW11,COMPRA,4,02/01/2020,"115,50","462,00","0,02","0,13",,"462,15",
LVBI11,COMPRA,10,02/01/2020,"138,70","1.387,00","0,05","0,38",,"1.387,43",
XPML11,COMPRA,10,02/01/2020,"140,22","1.402,20","0,05","0,39",,"1.402,64",
BBPO11,COMPRA,10,06/01/2020,"169,46","1.694,60","0,06","0,46",,"1.695,12",
HFOF11,COMPRA,10,06/01/2020,"126,98","1.269,80","0,05","0,35",,"1.270,20",
IRDM11,COMPRA,10,06/01/2020,"141,79","1.417,90","0,05","0,39",,"1.418,34",
SPTW11,COMPRA,10,08/01/2020,"85,00","850,00","0,03","0,23",,"850,26",
HGCR11,COMPRA,5,09/01/2020,"124,88","624,40","0,02","0,17",,"624,59",
MGFF11,COMPRA,5,09/01/2020,"117,69","588,45","0,02","0,16",,"588,63",
XPML11,COMPRA,5,09/01/2020,"141,50","707,50","0,03","0,19",,"707,73",
